model,stage,setting,labeled_samples,labeled_samples_count,iou,f1,precision,recall,experiment_name
DeepLabV3+,Source-only,raw,0,0,0.12303329531162505,0.2151664731994508,0.13026986377579824,0.6913394909056406,deeplabv3plus_plain_360_uav_holdout_raw
SegFormer-B2,Source-only,raw,0,0,0.1442013288301135,0.247641549696998,0.1495425384196024,0.7727282340564425,segformer_uav_holdout_raw_rerun
DeepLabV3+,B1,raw @ 0.5,0,0,0.28296419079341584,0.4142691105131119,0.581961917498755,0.3766910440865017,deeplabv3plus_b1_holdout_raw_thr050
SegFormer-B2,B1,raw @ 0.7,0,0,0.33248707510176156,0.47273585153004477,0.5374,0.5133,segformer_b1_holdout_raw_thr070_rerun
DeepLabV3+,B2,fs05_pat12,9,9,0.35990586119984824,0.5226053794225057,0.4966953046738155,0.5998307967942859,deeplabv3plus_b2_fs05_seed42_pat12_test
SegFormer-B2,B2,fs05,9,9,0.5073638075873965,0.6695039149314638,0.6232,0.7277,segformer_b2_b2_fs05_seed42_test_rerun
DeepLabV3+,B2,fs10,19,19,0.4353848582222348,0.600487594566648,0.5607753462261624,0.6620378645639571,deeplabv3plus_b2_fs10_seed42_test
SegFormer-B2,B2,fs10,19,19,0.5420068568653531,0.6988117988147433,0.6762,0.7251,segformer_b2_b2_fs10_seed42_test_rerun
DeepLabV3+,B2,fs20,38,38,0.4760079213551113,0.6339678149374705,0.5902850268379091,0.706010691703312,deeplabv3plus_b2_fs20_seed42_test
SegFormer-B2,B2,fs20,38,38,0.5685513842673529,0.7208976783449688,0.6724,0.7826,segformer_b2_b2_fs20_seed42_test_rerun
SegFormer-B2,Upper bound,full-train,189,189,0.5879282535068573,0.7369295074826195,0.697,0.783,segformer_b2_uav_indomain_plain_360_test_rerun
