training_group,seed,experiment_name,iou,f1,precision,recall
Matched random background,7,segformer_b2_b1_random_bg_thr080_mean082_seed007_uavval,0.32681030720945387,0.4634487680972569,0.4228501050245194,0.5679768295515151
Mined TS-bank,7,segformer_b2_b1_tsbank_thr080_mean082_seed007_uavval,0.3283605757686827,0.46395654432357303,0.45109055439631146,0.5301798572615971
Matched random background,13,segformer_b2_b1_random_bg_thr080_mean082_seed013_uavval,0.3628886201019798,0.508929878591545,0.48502947271816316,0.5569352676116285
Mined TS-bank,13,segformer_b2_b1_tsbank_thr080_mean082_seed013_uavval,0.32746261831313844,0.47767549753189087,0.4135963150433132,0.6060135638903058
Matched random background,21,segformer_b2_b1_random_bg_thr080_mean082_seed021_uavval,0.3100907864078643,0.44789667261971366,0.5101798555207631,0.43437255469579544
Mined TS-bank,21,segformer_b2_b1_tsbank_thr080_mean082_seed021_uavval,0.34553403610104744,0.47642812844136545,0.6266405790571182,0.479556937083556
Matched random background,42,segformer_b2_b1_random_bg_thr080_mean082_seed042_uavval,0.3458268242695975,0.4864591265481616,0.577714132884192,0.5338852586490768
Mined TS-bank,42,segformer_b2_b1_tsbank_thr080_mean082_seed042_uavval,0.3143178451628912,0.45676287204500227,0.39551588088747053,0.6333346234427558
Matched random background,99,segformer_b2_b1_random_bg_thr080_mean082_seed099_uavval,0.3550523127054425,0.48856523871251656,0.636343725143917,0.5059417032232374
Mined TS-bank,99,segformer_b2_b1_tsbank_thr080_mean082_seed099_uavval,0.28149069999418563,0.4170514383013286,0.3388889994886186,0.595804777883348
